"text","year","month","day","hour","created","source","favoriteCount","retweetCount","picture","exclamation","hashtag"
"Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!",2017,1,24,21,2017-01-25 02:16:19,"Android",165513,32740,"No picture/link","Yes","No"
"Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8",2017,1,24,19,2017-01-25 00:46:57,"iPhone",102470,18970,"Picture/link","No","No"
"Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off‚Ä¶ https://t.co/aOxmfO0vOK",2017,1,24,12,2017-01-24 17:49:17,"iPhone",134058,26186,"Picture/link","No","No"
"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ",2017,1,24,12,2017-01-24 17:04:01,"iPhone",100731,16554,"Picture/link","Yes","Yes"
"A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0",2017,1,24,11,2017-01-24 16:58:06,"iPhone",110967,21178,"Picture/link","Yes","No"
"Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!",2017,1,24,6,2017-01-24 11:11:47,"Android",157229,24160,"No picture/link","Yes","No"
"Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.",2017,1,23,6,2017-01-23 11:38:16,"Android",181518,27246,"No picture/link","No","No"
"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",2017,1,22,9,2017-01-22 14:23:17,"Android",396894,83594,"No picture/link","No","No"
"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",2017,1,22,7,2017-01-22 12:51:36,"Android",221340,41010,"No picture/link","Yes","No"
"Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.",2017,1,22,7,2017-01-22 12:47:21,"Android",217273,47019,"No picture/link","Yes","No"
"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",2017,1,22,7,2017-01-22 12:35:09,"Android",129633,17223,"No picture/link","Yes","No"
"A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!",2017,1,21,6,2017-01-21 11:53:41,"Android",180352,23745,"No picture/link","Yes","No"
"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAINÌ†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/V3aoj9RUh4",2017,1,20,23,2017-01-21 04:56:15,"iPhone",294135,53540,"Picture/link","No","No"
"TO ALL AMERICANSÌ†ºÌ∑∫Ì†ºÌ∑∏
https://t.co/D7Es6ie4fY",2017,1,20,13,2017-01-20 18:13:48,"iPhone",93671,16900,"Picture/link","No","No"
"So to all Americans, in every city near and far, small and large, from mountain to mountain...https://t.co/cZKkrGXLSi",2017,1,20,13,2017-01-20 18:00:43,"iPhone",87800,14298,"Picture/link","No","No"
"It is time to remember that...https://t.co/ZKyOiOor62",2017,1,20,12,2017-01-20 17:58:24,"iPhone",59921,9344,"Picture/link","No","No"
"We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!
#InaugurationDay #MAGAÌ†ºÌ∑∫Ì†ºÌ∑∏",2017,1,20,12,2017-01-20 17:55:44,"iPhone",163889,38930,"No picture/link","Yes","Yes"
"We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!",2017,1,20,12,2017-01-20 17:54:36,"iPhone",176618,38447,"No picture/link","Yes","No"
"The forgotten men and women of our country will be forgotten no longer. From this moment on, it‚Äôs going to be #AmericaFirstÌ†ºÌ∑∫Ì†ºÌ∑∏",2017,1,20,12,2017-01-20 17:54:00,"iPhone",150426,35901,"No picture/link","No","Yes"
"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",2017,1,20,12,2017-01-20 17:53:17,"iPhone",221871,61991,"No picture/link","No","No"
"What truly matters is not which party controls our government, but whether our government is controlled by the people.",2017,1,20,12,2017-01-20 17:52:45,"iPhone",183171,43807,"No picture/link","No","No"
"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",2017,1,20,12,2017-01-20 17:51:58,"iPhone",92660,18829,"No picture/link","No","Yes"
"Today we are not merely transferring power from one Administration to another, or from one party to another ‚Äì but we are transferring...",2017,1,20,12,2017-01-20 17:51:25,"iPhone",111355,20628,"No picture/link","No","No"
"It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!",2017,1,20,7,2017-01-20 12:31:53,"Android",272729,72495,"No picture/link","Yes","No"
"Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",2017,1,19,23,2017-01-20 04:24:33,"iPhone",114630,21251,"Picture/link","No","Yes"
"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM‚Ä¶ https://t.co/OSxa3BamHs",2017,1,19,19,2017-01-20 00:40:51,"iPhone",168076,34851,"Picture/link","Yes","No"
"Join me at 4pm over at the Lincoln Memorial with my family!
#Inauguration2017 https://t.co/GQeQpJOgWz",2017,1,19,15,2017-01-19 20:21:36,"iPhone",67194,12508,"Picture/link","Yes","Yes"
"Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!",2017,1,19,15,2017-01-19 20:18:32,"Android",66390,8549,"No picture/link","Yes","No"
"On my way! #Inauguration2017 https://t.co/hOuMbxGnpe",2017,1,19,15,2017-01-19 20:13:57,"iPhone",57293,9074,"Picture/link","Yes","Yes"
"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",2017,1,19,8,2017-01-19 13:02:18,"Android",162513,39755,"No picture/link","Yes","No"
"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",2017,1,19,8,2017-01-19 13:00:13,"Android",152523,26268,"No picture/link","No","No"
"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",2017,1,19,7,2017-01-19 12:52:22,"Android",126983,28211,"No picture/link","Yes","No"
"Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.‚Ä¶ https://t.co/Qj5cpfaykD",2017,1,18,23,2017-01-19 04:01:40,"iPhone",83635,16603,"Picture/link","No","No"
"Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT",2017,1,18,20,2017-01-19 01:54:13,"iPhone",65668,10214,"Picture/link","Yes","Yes"
"Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday.‚Ä¶ https://t.co/J0ojOXjrga",2017,1,18,12,2017-01-18 17:33:25,"iPhone",109537,21565,"Picture/link","No","No"
".@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!",2017,1,18,9,2017-01-18 14:03:53,"Android",66779,11551,"No picture/link","Yes","No"
"No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!",2017,1,18,8,2017-01-18 13:06:58,"Android",58277,10800,"No picture/link","Yes","No"
"""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump, the latest in a string..."" @WSJ",2017,1,18,8,2017-01-18 13:00:51,"Android",59035,12171,"No picture/link","No","No"
"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",2017,1,18,7,2017-01-18 12:44:03,"Android",58783,11731,"No picture/link","Yes","No"
